Merk,ModelName,Tipe,Transmisi,Tahun,min_price,avg_price,max_price,count,KodeDaerah,lokasi,kilometer2
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,95000000,95000000.0,95000000,4,DW,MAKASAR,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,93500000,93500000.0,93500000,1,F,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,87500000,87500000.0,87500000,1,H,JOGJA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,97000000,97000000.0,97000000,4,H,SEMARANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,93000000,93000000.0,93000000,1,KB,PONTIANAK,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,93000000,93000000.0,93000000,4,KH,BANJARMASIN,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,88500000,90250000.0,92000000,8,KH,BANJARMASIN,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,95000000,99750000.0,104500000,8,KH,BANJARMASIN,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,93500000,104166666.67,111000000,9,KH,PALANGKARAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,109000000,109000000.0,109000000,4,KH,PALANGKARAYA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,91000000,100833333.33,109500000,12,KH,PALANGKARAYA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,87000000,87000000.0,87000000,1,KH,SAMPIT,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,40000000,40000000.0,40000000,1,KH,SAMPIT,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,85000000,95000000.0,107500000,9,KT,BALIKPAPAN,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,81500000,91416666.67,94500000,6,KT,SAMARINDA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,90000000,90000000.0,90000000,4,KT,SAMARINDA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,98500000,98500000.0,98500000,4,L,SURABAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,80000000,80000000.0,80000000,1,PA,MAKASSAR,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,80000000,80000000.0,80000000,1,S,SURABAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,81000000,81000000.0,81000000,1,T,BANDUNG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,85000000,86500000.0,88000000,2,T,BANDUNG,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,90000000,90000000.0,90000000,4,T,JAKARTA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,82000000,82000000.0,82000000,1,Z,JAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2023,85000000,85000000.0,85000000,4,Z,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,85000000,90250000.0,95500000,2,A,JAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,89000000,89000000.0,89000000,1,AA,YOGYAKARTA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,100000000,100000000.0,100000000,1,AB,JOGJA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,96000000,96000000.0,96000000,4,AB,YOGYAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90000000,90000000.0,90000000,1,AB,Yogyakarta,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,100000000,100000000.0,100000000,4,AD,SEMARANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,92500000,92500000.0,92500000,1,AG,SURABAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90000000,94875000.0,100000000,8,B,JAKARTA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,84500000,87250000.0,91000000,6,B,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,84000000,84000000.0,84000000,1,B,JAKARTA,>50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,100000000,101000000.0,102000000,2,BA,PADANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,95000000,95000000.0,95000000,4,BA,PEKANBARU,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,101000000,101000000.0,101000000,4,BA,PEKANBARU,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90500000,90500000.0,90500000,1,BE,LAMPUNG,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,104000000,104000000.0,104000000,4,BG,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,93000000,99000000.0,103000000,4,BG,PALEMBANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,84500000,86750000.0,89000000,2,BG,PALEMBANG,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,97500000,101500000.0,103000000,9,BG,PALEMBANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,97000000,99250000.0,101500000,8,BH,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,85000000,93125000.0,97500000,4,BH,JAMBI,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,92000000,92000000.0,92000000,4,BH,PALEMBANG,>50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,85000000,85000000.0,85000000,1,BM,PEKANBARU,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,91000000,91000000.0,91000000,1,BM,PEKANBARU,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90500000,90500000.0,90500000,1,BM,PEKANBARU,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,96500000,96500000.0,96500000,1,BN,PALEMBANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90000000,93642857.14,104500000,7,BN,PALEMBANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,95000000,97833333.33,101500000,3,BN,PINANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,95000000,95000000.0,95000000,4,D,BANDUNG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90000000,90000000.0,90000000,1,D,BANDUNG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,96000000,96500000.0,97000000,8,D,JAKARTA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,99500000,106750000.0,114000000,2,DA,BANJARMASIN,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,93500000,93500000.0,93500000,1,DC,BALIKPAPAN,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,85000000,101000000.0,105000000,10,DD,MAKASSAR,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,94000000,94000000.0,94000000,4,DK,SURABAYA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,2090000,58873333.33,104500000,9,DP,MAKASSAR,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,97000000,97000000.0,97000000,1,DP,MAKASSAR,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,101000000,101000000.0,101000000,1,DT,KENDARI,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,101000000,101000000.0,101000000,4,DT,MAKASAR,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,120000000,120000000.0,120000000,4,DT,MAKASSAR,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90000000,90000000.0,90000000,1,DW,MAKASSAR,>50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,88000000,88000000.0,88000000,1,F,JAKARTA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,100500000,100500000.0,100500000,1,G,TEGAL,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,92000000,94166666.67,95000000,6,H,SEMARANG,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,94500000,94500000.0,94500000,1,H,SEMARANG,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,86500000,86500000.0,86500000,1,H,SEMARANG,>50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,92000000,92000000.0,92000000,1,KB,PONTIANAK,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90000000,95250000.0,100500000,8,KH,BANJARMASIN,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,87500000,93100000.0,94500000,5,KH,BANJARMASIN,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,108000000,108500000.0,109000000,2,KH,PALANGKARAYA,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,89000000,94600000.0,96000000,5,KH,PALANGKARAYA,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,73000000,93923076.92,106000000,13,KH,PALANGKARAYA,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,83500000,95125000.0,100000000,4,KH,SAMPIT,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,90000000,90000000.0,90000000,1,KH,SAMPIT,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,100000000,101250000.0,102500000,2,KH,SAMPIT,<10k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,87500000,87500000.0,87500000,1,KT,BALIKPAPAN,10k-30k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,65000000,65000000.0,65000000,1,KT,BALIKPAPAN,30k-50k
DAIHATSU,AYLA,ALL NEW ASTRADAIHATSU AYLA 1.0 M MT,MANUAL,2024,100000000,100000000.0,100000000,4,KT,BALIKPAPAN,<10k
